number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
47,0.1688377857208252,2026-05-15 12:54:52.333082,2026-05-15 12:54:52.522484,0 days 00:00:00.189402,0.011076319054903357,96,97.41006954424007,0.4018834458401463,0.007798777112896782,3,0.5637492525779262,4500,PRUNED
48,0.11967591941356659,2026-05-15 12:54:52.528704,2026-05-15 12:54:52.686763,0 days 00:00:00.158059,0.18200800751815627,80,1.2448492018963355,0.8472095709273872,0.0074551793595986505,2,0.505197621551059,5000,PRUNED
49,0.14163683354854584,2026-05-15 12:54:52.693107,2026-05-15 12:54:52.884824,0 days 00:00:00.191717,0.033102078397089285,80,1.7218573806211315,0.10186153323973837,0.001302519286633214,3,0.6152722646541244,4000,PRUNED
50,0.1310550719499588,2026-05-15 12:54:52.890904,2026-05-15 12:54:53.085739,0 days 00:00:00.194835,0.007922656396411085,96,1.4278197859168251,1.8535552381548752,0.002608573493869712,3,0.5787697122462567,3500,PRUNED
51,0.0023594871163368225,2026-05-15 12:54:53.091906,2026-05-15 12:55:20.710291,0 days 00:00:27.618385,0.01856507195243274,64,1.0735618162141982,0.6018271189588477,0.006149949985555842,3,0.5409614250804621,4000,COMPLETE
52,0.0025772307999432087,2026-05-15 12:55:20.726111,2026-05-15 12:55:43.337992,0 days 00:00:22.611881,0.020658487043737177,64,1.1254659653309425,0.3420227829012247,0.005917588064262779,3,0.6094653364516905,4000,COMPLETE
53,0.10586608946323395,2026-05-15 12:55:43.349520,2026-05-15 12:55:43.529438,0 days 00:00:00.179918,0.009480143073499462,80,1.0083508577650129,0.1869714190103703,0.003907014958014942,2,0.5318653930089692,4500,PRUNED
54,0.10794296115636826,2026-05-15 12:55:43.535749,2026-05-15 12:55:43.728613,0 days 00:00:00.192864,0.02819798002395138,64,1.477616743431897,1.3040418932520979,0.007962367174247989,3,0.6753716375455955,4000,PRUNED
55,0.20784933865070343,2026-05-15 12:55:43.735302,2026-05-15 12:55:43.928515,0 days 00:00:00.193213,0.019318363116365395,80,1.918382449306453,0.033805103090799656,0.0007077022247016294,3,0.5515030272694651,3500,PRUNED
56,0.12044598162174225,2026-05-15 12:55:43.936390,2026-05-15 12:55:44.097703,0 days 00:00:00.161313,0.0035964613866217173,64,1.291682590056349,0.623123975911466,0.004717839081501674,2,0.46305451900408057,4500,PRUNED
57,0.18617087602615356,2026-05-15 12:55:44.105094,2026-05-15 12:55:44.295794,0 days 00:00:00.190700,0.04495859389313886,96,1.6710341523283034,0.2920759600455,0.00022903292890144987,3,0.49967237270785153,5000,PRUNED
58,0.13428044319152832,2026-05-15 12:55:44.303812,2026-05-15 12:55:44.499993,0 days 00:00:00.196181,0.027904824177040616,48,1.1802869303695105,2.706555126670211,0.005708752993275869,3,0.5785400754606427,4000,PRUNED
59,0.24525411427021027,2026-05-15 12:55:44.507815,2026-05-15 12:55:44.661610,0 days 00:00:00.153795,0.12339961509771852,64,13.169581875530646,0.08496718215669256,0.002939505385514653,2,0.5470424090922493,3500,PRUNED
60,0.002412124304100871,2026-05-15 12:55:44.668812,2026-05-15 12:56:04.678548,0 days 00:00:20.009736,0.009045871729393574,80,2.016820251129787,0.9885246716424039,0.008876640803317903,3,0.6849063414811106,4500,COMPLETE
61,0.0021804869174957275,2026-05-15 12:56:04.692834,2026-05-15 12:56:34.824833,0 days 00:00:30.131999,0.015195796764424247,64,1.4585894362505958,0.5033588851773279,0.006916770924584696,4,0.3628136435884525,4000,COMPLETE
62,0.002199425594881177,2026-05-15 12:56:34.835325,2026-05-15 12:57:01.194612,0 days 00:00:26.359287,0.022688878483624282,64,1.458387901269099,0.45348842196903544,0.006911118249410032,4,0.4023027007317813,4000,COMPLETE
63,0.00220520724542439,2026-05-15 12:57:01.209655,2026-05-15 12:57:27.127385,0 days 00:00:25.917730,0.006732571648338522,64,1.4464387235042153,0.48135447864389164,0.006983258942144892,4,0.3982952428393298,4500,COMPLETE
64,0.02026604302227497,2026-05-15 12:57:27.140085,2026-05-15 12:57:28.997876,0 days 00:00:01.857791,0.024604317517260842,48,1.3844129756297783,0.45959384585384416,0.008540853052131302,4,0.378513663140537,5000,PRUNED
65,0.1974547952413559,2026-05-15 12:57:29.004722,2026-05-15 12:57:29.267179,0 days 00:00:00.262457,0.00017483155377577737,64,39.21803581836193,0.13875781493615344,0.004198386767420339,4,0.4043648597950481,4500,PRUNED
66,0.10395175963640213,2026-05-15 12:57:29.273904,2026-05-15 12:57:29.533389,0 days 00:00:00.259485,0.03888257530607362,48,1.3895135726072074,0.04437603381986363,0.007075900573374162,4,0.317389138373917,4500,PRUNED
67,0.10816747695207596,2026-05-15 12:57:29.540965,2026-05-15 12:57:29.782789,0 days 00:00:00.241824,0.013148845728643839,32,2.2125748012703594,1.1310765988782119,0.004633494175916489,4,0.36004001674656805,4500,PRUNED
68,0.0022266923915594816,2026-05-15 12:57:29.789044,2026-05-15 12:58:01.099668,0 days 00:00:31.310624,0.022967770653283526,64,1.1603073378204778,0.021619677076707568,0.00545246008716353,4,0.43931997707373127,5000,COMPLETE
69,0.08677157014608383,2026-05-15 12:58:01.112867,2026-05-15 12:58:01.539995,0 days 00:00:00.427128,0.06022928214715366,64,8.51526033548726,0.015751962546312753,0.008789098749477099,4,0.44250586099374023,5000,PRUNED
70,0.10793840140104294,2026-05-15 12:58:01.546977,2026-05-15 12:58:01.768544,0 days 00:00:00.221567,0.03181668581669688,64,2.755958229816795,0.2921835685458895,0.005272099897120776,4,0.3979132885214805,5000,PRUNED
71,0.08364159613847733,2026-05-15 12:58:01.775917,2026-05-15 12:58:02.205869,0 days 00:00:00.429952,0.022873467547590655,80,1.1388718506497406,0.022094814937509834,0.003287614979966481,4,0.4275078576594566,4500,PRUNED
72,0.10241437703371048,2026-05-15 12:58:02.213033,2026-05-15 12:58:02.449883,0 days 00:00:00.236850,0.01521462436715855,48,1.553420786788432,0.09847024037702222,0.007048778116456047,4,0.33110682901915994,5000,PRUNED
73,0.10591902583837509,2026-05-15 12:58:02.455948,2026-05-15 12:58:02.709688,0 days 00:00:00.253740,0.006376680939878917,64,1.7670670794719212,0.009655214876410937,0.005606523035381995,4,0.36898245995794826,4000,PRUNED
74,0.10562387108802795,2026-05-15 12:58:02.716654,2026-05-15 12:58:02.976570,0 days 00:00:00.259916,0.014517183766407912,80,1.1470797041235237,1.50545094841407,0.004142707322341733,5,0.4153964231189262,4000,PRUNED
75,0.08881805092096329,2026-05-15 12:58:02.983585,2026-05-15 12:58:03.398557,0 days 00:00:00.414972,0.04063342245021988,64,1.4358070685225393,0.49109442245880347,0.0023454912494397075,4,0.44108063494958133,5000,PRUNED
76,0.002287383424118161,2026-05-15 12:58:03.406017,2026-05-15 12:58:16.362062,0 days 00:00:12.956045,3.8190988075026975e-05,80,2.0880851909003013,0.051289621050876,0.008876901436169407,4,0.35147276312516834,3500,COMPLETE
